Red Rot (Sugarcane),SUG Pesticide,3 ml/litre,Stem soak,Every 14 days,Red discoloration; stem rot
Charcoal Rot (Soybean),SOY Fungiguard,2 ml/litre,Soil drench,Every 14 days,Gray lesions; dry rot
Pink Bollworm (Cotton),COT Insecto,1.5 ml/litre,Foliar spray,Every 7 days,Boll damage; insect larvae
Stem Rust (Barley),BAR Fungicide,2 ml/litre,Foliar spray,Every 5 days,Rust pustules on stem and leaves
Peanut Rust,PEA Rust-Ban,2 ml/litre,Foliar spray,Every 7 days,Rust-colored pustules
Leaf Crinkle Virus (Urd Bean),URD Antiviral,1 ml/litre,Foliar spray,Every 7 days,Crinkled leaves; stunted growth
Tikka Leaf Spot (Groundnut),GND Spot-Fix,2 ml/litre,Foliar spray,Every 10 days,Brown circular spots
Wilt (Chili),CHL WiltAway,3 ml/litre,Soil drench,Every 14 days,Wilt; root rot
Shoot and Fruit Borer (Brinjal),BRN InsectGuard,2 ml/litre,Foliar spray,Every 7 days,Boring holes; fruit damage
Dieback (Citrus),CIT Copper Mix,2.5 ml/litre,Foliar spray,Every 10 days,Drying tips; leaf drop
Anthracnose (Guava),GUV Anthra-Kill,2 ml/litre,Foliar spray,Every 7 days,Sunken black lesions
Panama Wilt (Banana),BAN WiltGuard,3 ml/litre,Soil drench,Every 14 days,Yellowing; leaf collapse
Leaf Curl (Chili),CHL CurlFix,2 ml/litre,Foliar spray,Every 7 days,Leaf curling; stunted plants
